#1	0.6165682637546371
<3	0.14731699670829196
mr.	0.03991849103923925
ms.	0.032917080307226086
i<3	0.03286483097340509
st.	0.028084016928784157
mz.	0.026412038246512358
no.1	0.01319295678980093
dr.	0.011991222111918073
;p	0.007550028737133602
Mr.	0.007445530069491614
MZ.	0.006060922723235279
MS.	0.005224933382099378
I<3	0.004127697371858509
Mz.	0.003552954699827577
MR.	0.003370082031454099
Ms.	0.003370082031454099
:p	0.0029782120277966457
St.	0.0027953393594231674
Dr.	0.002194472020481739
*0*	0.0012801086786143477
No.1	0.0005224933382099378
No.	0.0002612466691049689
